division,order_number,customer_name,proj_num,order_create_date,eck_date,BD_Act_Compl_Date,budget_hours,acutal_hours,Complexity,eck_lead_wks,eck_range_high,eck_range_low,include,days_to_book,eck_month,book_month,fiscal_year,above_limit
BUTLER,1901566201,"MORRIS CONSTRUCTION ENTERPRISES, INC.",19015662,2019-07-19,2019-11-21,2019-11-21,197,259.56,Moderate (100-200),17.86,16.93,1.53,No,0,2019-11-01,2019-11-01,2020,0.93
VP,1804286501,PIONEER INCORPORATED,18042865,2018-10-19,2019-03-20,2019-03-25,351.3,821.06,Complex (200-400),21.71,20.78,2.68,No,5,2019-03-01,2019-03-01,2019,0.93
VP,1900504001,DYKSTRA CONSTRUCTION INC,19005040,2019-03-05,2019-06-28,2019-07-08,139.94,248.25,Moderate (100-200),16.43,15.5,1.1,No,10,2019-06-01,2019-07-01,2019,0.93
VP,1901456901,"ROSKILDE BUILDERS, LLC",19014569,2019-07-09,2019-11-07,2019-11-08,174.07,134.17,Moderate (100-200),17.29,16.35,1.36,No,1,2019-11-01,2019-11-01,2020,0.939999999999998
VP,1700763701,"HANSEN-RICE, INC.",17007637,2017-03-31,2017-07-10,2017-10-03,59.5,64.3,Simple (<=100),14.43,13.49,0.5,No,85,2017-07-01,2017-10-01,2018,0.94
VP,1902053901,"JERRY TIDWELL CONSTRUCTION, INC.",19020539,2019-09-25,2020-02-14,NA,293.58,57,Complex (200-400),20.29,19.34,2.25,No,NA,2020-02-01,NA,2020,0.949999999999999
BUTLER,1701991501,"KIMBALL CONSTRUCTION COMPANY, INC.",17019915,2017-08-22,2017-12-05,2017-12-05,82,109.25,Simple (<=100),15,14.05,0.66,No,0,2017-12-01,2017-12-01,2018,0.949999999999999
VP,1802971701,"SIMON & COMPANY, INC.",18029717,2018-04-27,2018-08-20,2018-08-21,138.81,145.25,Moderate (100-200),16.43,15.47,1.09,No,1,2018-08-01,2018-08-01,2019,0.959999999999999
VP,1901806201,LINCOLN BUILDERS OF BATON ROUGE INC,19018062,2019-09-05,2020-01-24,NA,286.97,144.5,Complex (200-400),20.14,19.17,2.2,No,NA,2020-01-01,NA,2020,0.969999999999999
BUTLER,1901440801,MELEWKA HOMES LTD,19014408,2019-07-01,2019-10-16,2019-10-16,93,132.25,Simple (<=100),15.29,14.32,0.75,No,0,2019-10-01,2019-10-01,2020,0.969999999999999
VP,1803419301,"RICH KRAMER CONSTRUCTION, INC.",18034193,2018-06-25,2018-10-22,2018-10-22,161.29,114.77,Moderate (100-200),17,16.03,1.26,No,0,2018-10-01,2018-10-01,2019,0.969999999999999
VP,1803041201,"DICK ANDERSON CONSTRUCTION, INC",18030412,2018-06-14,2018-09-20,2018-09-26,41.09,98.95,Simple (<=100),14,13.03,0.36,No,6,2018-09-01,2018-09-01,2019,0.970000000000001
VP,1901156001,TMC-TAYLOR CONSTRUCTION,19011560,2019-06-18,2019-11-13,2019-11-15,326.16,424,Complex (200-400),21.14,20.15,2.5,No,2,2019-11-01,2019-11-01,2020,0.990000000000002
BUTLER,1700783601,OREILLY AUTOMOTIVE,17007836,2017-03-21,2017-07-11,2017-08-23,120,97.5,Moderate (100-200),16,15,0.95,No,43,2017-07-01,2017-08-01,2018,1
BUTLER,1702674401,OREILLY AUTOMOTIVE,17026744,2017-11-07,2018-02-27,2018-09-10,120,89.5,Moderate (100-200),16,15,0.95,No,195,2018-02-01,2018-09-01,2018,1
VP,1901216001,"LOVE'S TRAVEL STOPS & COUNTRY STORES, INC.",19012160,2019-05-30,2019-09-17,NA,107.9,113.27,Moderate (100-200),15.71,14.7,0.86,No,NA,2019-09-01,NA,2020,1.01
VP,1802799101,"KNCOS, INC.",18027991,2018-04-30,2018-09-19,2018-09-20,291,150.25,Complex (200-400),20.29,19.27,2.23,No,1,2018-09-01,2018-09-01,2019,1.02
BUTLER,1700141101,THE SHERIDAN CORPORATION,17001411,2017-01-06,2017-06-17,2017-06-20,405,391.5,High Complex (400-800),23.14,22.12,3.09,No,3,2017-06-01,2017-06-01,2017,1.02
BUTLER,1802555001,B.B.C.S. INC.,18025550,2018-03-19,2018-07-03,2018-07-05,85,101.25,Simple (<=100),15.14,14.12,0.69,No,2,2018-07-01,2018-07-01,2019,1.02
BUTLER,1804204901,"COLEMAN-ADAMS CONSTRUCTION, INC.",18042049,2018-10-08,2019-01-24,2019-01-24,96,119.5,Simple (<=100),15.43,14.4,0.77,No,0,2019-01-01,2019-01-01,2019,1.03
BUTLER,1803109601,THE PANGERE CORPORATION,18031096,2018-05-15,2018-10-11,2018-10-12,329,344.21,Complex (200-400),21.29,20.23,2.52,No,1,2018-10-01,2018-10-01,2019,1.06
VP,1901185401,"PATCO CONSTRUCTION, INC.",19011854,2019-05-28,2019-09-03,2019-08-29,37.54,106.5,Simple (<=100),14,12.94,0.33,No,-5,2019-09-01,2019-08-01,2020,1.06
VP,1702789001,"TETON WEST CONSTRUCTION, INC.",17027890,2017-11-30,2018-03-08,2018-03-15,37.54,100.58,Simple (<=100),14,12.94,0.33,No,7,2018-03-01,2018-03-01,2018,1.06
VP,1802807801,STEENBLOCK CONSTRUCTION GROUP LLC,18028078,2018-06-29,2018-11-14,2018-11-15,265.6,290,Complex (200-400),19.71,18.64,2.04,No,1,2018-11-01,2018-11-01,2019,1.07
BUTLER,1803240701,"AMERICAN STRUCTURES GENERAL, INC.",18032407,2018-06-01,2018-09-18,2018-09-18,100,185.25,Simple (<=100),15.57,14.5,0.8,No,0,2018-09-01,2018-09-01,2019,1.07
VP,1901473001,"DUNN BUILDING COMPANY, L.L.C.",19014730,2019-07-05,2019-11-18,2019-11-12,253.04,250,Complex (200-400),19.43,18.33,1.95,No,-6,2019-11-01,2019-11-01,2020,1.1
VP,1803170101,FRED J PIETTE COMPANY INC.,18031701,2018-05-24,2018-09-17,2018-09-18,138.32,130.75,Moderate (100-200),16.57,15.46,1.09,No,1,2018-09-01,2018-09-01,2019,1.11
VP,1701474801,HAMMOND HOMES & CONSTRUCTION,17014748,2017-06-14,2017-09-21,2017-09-22,41.1,36.5,Simple (<=100),14.14,13.03,0.36,No,1,2017-09-01,2017-09-01,2018,1.11
VP,1803554801,"W. A. STRATTON CONST. CO., INC.",18035548,2018-07-16,2018-10-22,2018-10-22,35.09,80,Simple (<=100),14,12.88,0.31,No,0,2018-10-01,2018-10-01,2019,1.12
VP,1802826501,"HARRELL CONSTRUCTION OF GA, INC.",18028265,2018-04-17,2018-07-24,2018-09-10,35.09,29.35,Simple (<=100),14,12.88,0.31,No,48,2018-07-01,2018-09-01,2019,1.12
VP,1803355001,KIRBY STRUCTURES LTD,18033550,2018-06-15,2018-09-25,2018-09-26,57.63,129.5,Simple (<=100),14.57,13.44,0.48,No,1,2018-09-01,2018-09-01,2019,1.13
VP,1901770501,CRESCO BUILDING SERVICE,19017705,2019-08-16,2019-12-18,NA,183.31,96,Moderate (100-200),17.71,16.58,1.42,No,NA,2019-12-01,NA,2020,1.13
VP,1804668701,VANSTON-O'BRIEN C/O WOLVERINE STEEL ERECTORS,18046687,2018-12-07,2019-04-01,2019-04-15,131.7,175,Moderate (100-200),16.43,15.29,1.04,No,14,2019-04-01,2019-04-01,2019,1.14
BUTLER,1803813301,SCOTT BUILDERS INC.,18038133,2018-08-16,2018-12-21,2018-12-27,200,352,Moderate (100-200),18.14,17,1.55,No,6,2018-12-01,2018-12-01,2019,1.14
VP,1901340301,ABUCK INC.,19013403,2019-06-28,2019-12-31,NA,537.12,425,High Complex (400-800),26.57,25.43,4.08,No,NA,2019-12-01,NA,2020,1.14
VP,1700482801,"R. W. ALLEN, LLC",17004828,2017-03-16,2017-06-28,2017-07-05,68.39,107.5,Simple (<=100),14.86,13.71,0.56,No,7,2017-06-01,2017-07-01,2017,1.15
BUTLER,1701019501,OREILLY AUTOMOTIVE,17010195,2017-04-20,2017-08-17,2017-08-18,154,154.25,Moderate (100-200),17,15.85,1.21,No,1,2017-08-01,2017-08-01,2018,1.15
BUTLER,1802324601,"LARSON-DANIELSON CONSTR. CO., INC",18023246,2018-02-22,2018-06-06,2018-06-08,67,85,Simple (<=100),14.86,13.68,0.55,No,2,2018-06-01,2018-06-01,2018,1.18
BUTLER,1702693601,"SPAN CONSTRUCTION & ENGINEERING, INC.",17026936,2017-11-27,2018-07-26,2018-07-27,850,883.75,Very High Complex (>800),34.43,33.25,6.42,No,1,2018-07-01,2018-07-01,2019,1.18
BUTLER,1701363801,"NORTH VALLEY BUILDING SYSTEMS, INC",17013638,2017-05-30,2017-10-19,2017-10-20,284,119.1,Complex (200-400),20.29,19.1,2.18,No,1,2017-10-01,2017-10-01,2018,1.19
VP,1803225401,"STEEL STRUCTURES, INC.",18032254,2018-05-31,2018-10-02,2018-10-04,181,237.8,Moderate (100-200),17.71,16.52,1.41,No,2,2018-10-01,2018-10-01,2019,1.19
VP,1802356001,"TOM CLAYTON ERECTORS, LLC",18023560,2018-06-20,2018-10-11,2018-10-24,118,153.43,Moderate (100-200),16.14,14.95,0.94,No,13,2018-10-01,2018-10-01,2019,1.19
BUTLER,1803168001,CLOUSE CONSTRUCTION CORP.,18031680,2018-05-22,2018-09-26,2018-09-27,197,291.25,Moderate (100-200),18.14,16.93,1.53,No,1,2018-09-01,2018-09-01,2019,1.21
VP,1802945801,MARSIGLIA CONSTRUCTION CO.,18029458,2018-05-02,2018-08-16,2018-08-23,76.67,216,Simple (<=100),15.14,13.92,0.63,No,7,2018-08-01,2018-08-01,2019,1.22
VP,1900894501,K. WOHLTMAN CONSTRUCTION,19008945,2019-04-23,2019-07-30,2019-07-29,31,34.75,Simple (<=100),14,12.78,0.28,No,-1,2019-07-01,2019-07-01,2020,1.22
VP,1802838501,FARRIOR & SONS,18028385,2018-04-16,2018-07-27,2018-07-27,53.62,66,Simple (<=100),14.57,13.34,0.45,No,0,2018-07-01,2018-07-01,2019,1.23
BUTLER,1701087401,DF COFFRAGES INC.,17010874,2017-04-28,2017-08-31,2017-08-31,185,221.75,Moderate (100-200),17.86,16.62,1.44,No,0,2017-08-01,2017-08-01,2018,1.24
VP,1701924501,RIEDEL-WILKS BLDG STRUCTURES INC.,17019245,2017-08-11,2017-12-21,2017-12-22,224.68,332.75,Complex (200-400),18.86,17.62,1.74,No,1,2017-12-01,2017-12-01,2018,1.24
BUTLER,1702296101,"HANCE CONSTRUCTION, INC.",17022961,2017-09-25,2018-08-27,2018-08-28,1390,1437.5,Very High Complex (>800),48,46.75,10.47,No,1,2018-08-01,2018-08-01,2019,1.25
BUTLER,1902217401,"ELTER BUILDING SYSTEMS, INC.",19022174,2019-10-14,2020-03-05,NA,287,34.75,Complex (200-400),20.43,19.18,2.2,No,NA,2020-03-01,NA,2020,1.25
VP,1701413101,RIEDEL-WILKS BLDG STRUCTURES INC.,17014131,2017-06-06,2017-11-10,2017-11-10,367.06,308.4,Complex (200-400),22.43,21.18,2.8,No,0,2017-11-01,2017-11-01,2018,1.25
BUTLER,1901441001,MELEWKA HOMES LTD,19014410,2019-07-01,2019-10-18,NA,93,23.5,Simple (<=100),15.57,14.32,0.75,No,NA,2019-10-01,NA,2020,1.25
VP,1804274601,"SIMON & COMPANY, INC.",18042746,2018-10-16,2019-03-07,2019-05-03,281.33,259.25,Complex (200-400),20.29,19.03,2.16,No,57,2019-03-01,2019-05-01,2019,1.26
VP,1701193201,"RILEY CONSTRUCTION COMPANY, INC.",17011932,2017-05-30,2017-09-08,2017-09-11,46.6,58.75,Simple (<=100),14.43,13.16,0.4,No,3,2017-09-01,2017-09-01,2018,1.27
BUTLER,1901577501,KRULL CONSTRUCTION COMPANY INC,19015775,2019-07-19,2019-11-08,2019-11-08,109,127.96,Moderate (100-200),16,14.72,0.87,No,0,2019-11-01,2019-11-01,2020,1.28
BUTLER,1802927101,THE FLEMING CONSTRUCTION GROUP LLC,18029271,2018-04-24,2018-08-24,2018-08-24,166,323.58,Moderate (100-200),17.43,16.15,1.29,No,0,2018-08-01,2018-08-01,2019,1.28
BUTLER,1601851001,OREILLY AUTOMOTIVE,16018510,2016-08-09,2016-12-01,2017-10-12,120,98,Moderate (100-200),16.29,15,0.95,No,315,2016-12-01,2017-10-01,2017,1.29
BUTLER,1602901201,OREILLY AUTOMOTIVE,16029012,2017-01-04,2017-04-28,2017-08-30,120,116,Moderate (100-200),16.29,15,0.95,No,124,2017-04-01,2017-08-01,2017,1.29
BUTLER,1801971501,OREILLY AUTOMOTIVE,18019715,2018-01-17,2018-05-11,2019-04-09,120,100,Moderate (100-200),16.29,15,0.95,No,333,2018-05-01,2019-04-01,2018,1.29
BUTLER,1803048801,OREILLY AUTOMOTIVE,18030488,2018-05-09,2018-08-31,2019-05-15,120,91.5,Moderate (100-200),16.29,15,0.95,No,257,2018-08-01,2019-05-01,2019,1.29
BUTLER,1901176301,"NORTH VALLEY BUILDING SYSTEMS, INC",19011763,2019-05-28,2019-10-02,2019-10-03,194,247.5,Moderate (100-200),18.14,16.85,1.5,No,1,2019-10-01,2019-10-01,2020,1.29
BUTLER,1804030401,"BLUESCOPE CONSTRUCTION, INC.",18040304,2018-10-29,2019-01-30,2019-01-31,0,0,NA,13.29,12,0.05,No,1,2019-01-01,2019-01-01,2019,1.29
BUTLER,1803297701,"NORTH VALLEY BUILDING SYSTEMS, INC",18032977,2018-06-11,2018-09-28,2018-10-01,91,96.5,Simple (<=100),15.57,14.28,0.73,No,3,2018-09-01,2018-10-01,2019,1.29
BUTLER,1601024901,OREILLY AUTOMOTIVE,16010249,2016-05-03,2016-09-06,2017-06-15,188,187.75,Moderate (100-200),18,16.7,1.46,No,282,2016-09-01,2017-06-01,2017,1.3
BUTLER,1901285301,"SUPREME CONSTRUCTION, INC.",19012853,2019-06-10,2019-10-11,2019-10-14,171,327.43,Moderate (100-200),17.57,16.27,1.33,No,3,2019-10-01,2019-10-01,2020,1.3
VP,1802730101,"TETON WEST CONSTRUCTION, INC.",18027301,2018-04-11,2018-08-17,2018-08-20,199.67,225.64,Moderate (100-200),18.29,16.99,1.55,No,3,2018-08-01,2018-08-01,2019,1.3
VP,1802934501,ZAREMBA GROUP LLC,18029345,2018-04-24,2018-08-13,2018-08-15,102.11,74,Moderate (100-200),15.86,14.55,0.82,No,2,2018-08-01,2018-08-01,2019,1.31
BUTLER,1901957901,"CEDAR FALLS BUILDING SYSTEMS, INC.",19019579,2019-09-10,2020-01-10,NA,165,188.75,Moderate (100-200),17.43,16.12,1.29,No,NA,2020-01-01,NA,2020,1.31
VP,1802547401,"CANNON BUILDING SYSTEMS, INC.",18025474,2018-04-03,2018-07-23,2018-07-24,102.16,110.5,Moderate (100-200),15.86,14.55,0.82,No,1,2018-07-01,2018-07-01,2019,1.31
BUTLER,1900831101,"RIMMER & ROETER CONSTRUCTION, INC",19008311,2019-04-12,2019-08-29,2019-09-10,262,649.55,Complex (200-400),19.86,18.55,2.01,No,12,2019-08-01,2019-09-01,2020,1.31
VP,1900182001,"A. B. SYSTEMS, INC.",19001820,2019-01-25,2019-05-15,2019-05-14,95.96,136.97,Simple (<=100),15.71,14.4,0.77,No,-1,2019-05-01,2019-05-01,2019,1.31
VP,1900879301,"ROLAND CONSTRUCTION, INC.",19008793,2019-04-22,2019-08-13,2019-08-14,113.13,135.75,Moderate (100-200),16.14,14.83,0.9,No,1,2019-08-01,2019-08-01,2020,1.31
VP,1702330901,RIEDEL-WILKS BLDG STRUCTURES INC.,17023309,2017-10-03,2018-01-25,2018-02-20,118.26,104.75,Moderate (100-200),16.29,14.96,0.94,No,26,2018-01-01,2018-02-01,2018,1.33
BUTLER,1802979101,"GEORGIA COMMERCIAL CONSTRUCTION, INC.",18029791,2018-04-30,2018-09-05,2018-09-06,198,218.5,Moderate (100-200),18.29,16.95,1.53,No,1,2018-09-01,2018-09-01,2019,1.34
BUTLER,1803943401,"CAROLINA METAL BUILDINGS, INC.",18039434,2018-08-31,2019-01-10,2019-01-11,221,185.25,Complex (200-400),18.86,17.52,1.71,No,1,2019-01-01,2019-01-01,2019,1.34
VP,1700767201,1940891 ONTARIO INC,17007672,2017-03-31,2017-07-07,2017-07-10,26.57,19.75,CII/FT,14,12.66,0.25,No,3,2017-07-01,2017-07-01,2018,1.34
VP,1701397201,"PRE-FAB BUILDERS, INC.",17013972,2017-06-05,2017-10-06,2017-10-06,169.3,100.75,Moderate (100-200),17.57,16.23,1.32,No,0,2017-10-01,2017-10-01,2018,1.34
VP,1803942301,PENNIAC CONSTRUCTION LIMITED,18039423,2018-09-05,2018-12-14,2018-12-14,37.6,25,Simple (<=100),14.29,12.94,0.33,No,0,2018-12-01,2018-12-01,2019,1.35
BUTLER,1804204201,"COLEMAN-ADAMS CONSTRUCTION, INC.",18042042,2018-10-08,2019-01-30,2019-01-30,117,239.5,Moderate (100-200),16.29,14.93,0.93,No,0,2019-01-01,2019-01-01,2019,1.36
BUTLER,1803414801,GRASSMERE CONSTRUCTION LTD.,18034148,2018-06-22,2018-11-15,2018-11-15,300,276.7,Complex (200-400),20.86,19.5,2.3,No,0,2018-11-01,2018-11-01,2019,1.36
VP,1700763501,"HANSEN-RICE, INC.",17007635,2017-03-31,2017-07-21,2017-07-24,105.2,125.35,Moderate (100-200),16,14.63,0.84,No,3,2017-07-01,2017-07-01,2018,1.37
VP,1802152301,"KIRKLAND, INC.",18021523,2018-02-12,2018-06-07,2018-06-11,122.25,69.5,Moderate (100-200),16.43,15.06,0.97,No,4,2018-06-01,2018-06-01,2018,1.37
BUTLER,1602776101,"ORADELL CONSTRUCTION CO., INC.",16027761,2016-12-06,2017-06-12,2017-06-13,539,402,High Complex (400-800),26.86,25.48,4.09,No,1,2017-06-01,2017-06-01,2017,1.38
BUTLER,1900256801,CLARK BUILDERS,19002568,2019-02-04,2019-06-12,2019-06-12,196,110.25,Moderate (100-200),18.29,16.9,1.52,No,0,2019-06-01,2019-06-01,2019,1.39
BUTLER,1804628301,"STEEL WORX SOLUTIONS, LLC",18046283,2018-11-30,2019-03-29,2019-04-01,144,176.85,Moderate (100-200),17,15.6,1.13,No,3,2019-03-01,2019-04-01,2019,1.4
BUTLER,1901997501,"CARLIN CONSTRUCTION COMPANY, LLC",19019975,2019-09-16,2020-02-20,NA,361,53.75,Complex (200-400),22.43,21.02,2.76,No,NA,2020-02-01,NA,2020,1.41
BUTLER,1803176501,"NORTH VALLEY BUILDING SYSTEMS, INC",18031765,2018-05-24,2018-09-19,2018-09-20,138,73,Moderate (100-200),16.86,15.45,1.08,No,1,2018-09-01,2018-09-01,2019,1.41
VP,1804677401,"JON PROPERTIES, LLC",18046774,2018-12-14,2019-04-03,2019-04-15,91.43,175,Simple (<=100),15.71,14.29,0.74,No,12,2019-04-01,2019-04-01,2019,1.42
BUTLER,1803318201,OREILLY AUTOMOTIVE,18033182,2018-06-14,2018-10-07,2019-05-15,120,89,Moderate (100-200),16.43,15,0.95,No,220,2018-10-01,2019-05-01,2019,1.43
BUTLER,1804438701,OREILLY AUTOMOTIVE,18044387,2018-11-06,2019-03-01,2019-08-14,120,119.5,Moderate (100-200),16.43,15,0.95,No,166,2019-03-01,2019-08-01,2019,1.43
BUTLER,1900537401,OREILLY AUTOMOTIVE,19005374,2019-03-11,2019-07-04,2019-09-04,120,143.05,Moderate (100-200),16.43,15,0.95,No,62,2019-07-01,2019-09-01,2020,1.43
BUTLER,1900325501,BULLOCK CONSTRUCTION,19003255,2019-02-12,2019-05-27,2019-05-28,57,83.5,Simple (<=100),14.86,13.43,0.48,No,1,2019-05-01,2019-05-01,2019,1.43
BUTLER,1803647801,BRIX CORPORATION,18036478,2018-07-25,2018-11-07,2018-11-08,62,196.25,Simple (<=100),15,13.55,0.52,No,1,2018-11-01,2018-11-01,2019,1.45
VP,1803347601,ZAREMBA GROUP LLC,18033476,2018-06-14,2018-10-02,2018-10-03,90.47,91.25,Simple (<=100),15.71,14.26,0.73,No,1,2018-10-01,2018-10-01,2019,1.45
BUTLER,1803024901,"BOBBITT DESIGN BUILD, INC.",18030249,2018-05-04,2018-08-30,2018-08-31,136,83.75,Moderate (100-200),16.86,15.4,1.07,No,1,2018-08-01,2018-08-01,2019,1.46
BUTLER,1901439201,"MEEHAN CONTRACTORS, LTD",19014392,2019-07-01,2019-11-13,2019-11-15,233,464.5,Complex (200-400),19.29,17.82,1.8,No,2,2019-11-01,2019-11-01,2020,1.47
VP,1802668801,DURAND BUILDERS SERVICE,18026688,2018-04-05,2018-09-17,2018-09-17,403.75,431.5,High Complex (400-800),23.57,22.09,3.08,No,0,2018-09-01,2018-09-01,2019,1.48
VP,1700361601,"CHG BUILDING SYSTEMS, INC.",17003616,2017-04-10,2017-08-03,2017-08-03,117.3,164.25,Moderate (100-200),16.43,14.93,0.93,No,0,2017-08-01,2017-08-01,2018,1.5
BUTLER,1901251201,FLEMING WEST BUILDING CO.,19012512,2019-06-05,2019-09-11,2019-09-11,20,23.25,CII/FT,14,12.5,0.2,No,0,2019-09-01,2019-09-01,2020,1.5
